Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,ChangeFrom2019
"Warrick County, IN",18,173,2020,January,1,1,38,-13.60%
"Warrick County, IN",18,173,2020,January,1,2,40,-34.40%
"Warrick County, IN",18,173,2020,January,1,3,32,-15.80%
"Warrick County, IN",18,173,2020,January,1,4,28,-6.70%
"Warrick County, IN",18,173,2020,February,2,5,42,2.40%
"Warrick County, IN",18,173,2020,February,2,6,25,-21.90%
"Warrick County, IN",18,173,2020,February,2,7,20,-33.30%
"Warrick County, IN",18,173,2020,February,2,8,24,-7.70%
"Warrick County, IN",18,173,2020,February,2,9,13,-51.90%
"Warrick County, IN",18,173,2020,March,3,10,14,-36.40%
"Warrick County, IN",18,173,2020,March,3,11,21,40.00%
"Warrick County, IN",18,173,2020,March,3,12,368,2353.30%
"Warrick County, IN",18,173,2020,March,3,13,824,8140.00%
"Warrick County, IN",18,173,2020,April,4,14,992,5411.10%